person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_cred_hist_length,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G,cb_person_default_on_file_Y
26,129996,6.0,25000,10.75,0,0.19,3,False,False,True,True,False,False,False,False,False,False
22,169000,1.0,14000,11.14,0,0.08,3,False,False,True,True,False,False,False,False,False,False
25,168000,2.0,35000,10.65,0,0.21,2,False,False,False,True,False,False,False,False,False,False
24,134000,8.0,25000,16.07,0,0.19,3,False,False,True,False,False,True,False,False,False,True
24,165000,5.0,20000,10.37,0,0.12,4,False,False,False,True,False,False,False,False,False,False
23,16000,7.0,2000,6.39,0,0.13,3,False,True,False,False,False,False,False,False,False,False
25,175000,2.0,25000,8.9,0,0.14,2,False,False,True,False,False,False,False,False,False,False
22,16200,6.0,2000,12.42,0,0.12,3,False,True,False,True,False,False,False,False,False,False
25,162000,9.0,25000,11.03,0,0.15,2,False,False,True,False,True,False,False,False,False,False
25,16400,1.0,5000,8.94,1,0.3,4,False,True,False,False,False,False,False,False,False,False
25,49500,6.0,24750,14.22,1,0.5,3,False,False,True,False,True,False,False,False,False,False
23,160000,5.0,35000,7.66,0,0.22,2,False,False,False,False,False,False,False,False,False,False
25,160000,1.0,12000,9.63,0,0.07,4,False,False,False,True,False,False,False,False,False,False
26,160000,6.0,25000,12.23,0,0.16,4,False,False,True,False,True,False,False,False,False,True
25,54000,2.0,24250,13.98,1,0.45,4,False,False,True,False,True,False,False,False,False,False
25,68400,9.0,24250,17.56,1,0.35,4,False,False,True,False,False,False,True,False,False,False
23,100000,0.0,24250,12.87,0,0.24,2,False,False,True,False,True,False,False,False,False,True
23,103000,6.0,24250,15.7,0,0.24,2,False,False,True,False,False,True,False,False,False,False
24,47000,3.0,24000,17.8,1,0.51,2,False,False,True,False,False,False,False,True,False,False
26,60000,0.0,24000,7.9,1,0.4,4,False,False,True,False,False,False,False,False,False,False
25,60000,3.0,24000,10.99,1,0.4,4,False,False,True,True,False,False,False,False,False,False
22,60000,0.0,24000,7.29,1,0.4,3,False,False,True,False,False,False,False,False,False,False
22,62250,3.0,24000,16.45,1,0.39,4,False,False,True,False,False,False,True,False,False,True
22,18000,3.0,3000,7.9,1,0.17,4,False,True,False,False,False,False,False,False,False,False
23,78000,4.0,24000,13.92,1,0.31,3,False,False,True,False,True,False,False,False,False,False
23,74700,6.0,24000,12.92,1,0.32,2,False,False,True,False,False,True,False,False,False,False
26,88596,3.0,24000,11.58,0,0.27,3,False,False,True,True,False,False,False,False,False,False
26,100000,5.0,24000,12.73,0,0.24,4,False,False,True,False,True,False,False,False,False,False
24,124080,4.0,24000,16.49,0,0.19,4,False,False,True,False,False,True,False,False,False,True
25,135000,8.0,24000,10.99,0,0.18,2,False,False,True,True,False,False,False,False,False,False
24,18000,6.0,13000,7.88,1,0.72,3,False,True,False,False,False,False,False,False,False,False
21,18000,1.0,2500,11.36,0,0.14,3,False,True,False,True,False,False,False,False,False,False
24,54996,2.0,23600,11.89,1,0.43,3,False,False,True,True,False,False,False,False,False,False
23,75000,3.0,23575,14.5,1,0.31,4,False,False,True,False,False,False,True,False,False,False
24,18500,8.0,5000,9.32,1,0.27,3,False,False,False,False,False,False,False,False,False,False
25,52000,4.0,22000,10.74,1,0.42,2,False,False,True,True,False,False,False,False,False,False
21,18701,0.0,4200,14.11,1,0.22,4,False,False,False,False,False,True,False,False,False,True
25,77650,8.0,22000,11.48,1,0.28,3,False,False,True,True,False,False,False,False,False,False
22,19200,6.0,4950,11.71,1,0.26,2,False,False,False,True,False,False,False,False,False,False
25,57000,4.0,21700,11.99,1,0.38,2,False,False,True,True,False,False,False,False,False,False
22,82000,3.0,21600,13.61,0,0.26,3,False,False,True,False,True,False,False,False,False,True
22,59000,2.0,21000,10.71,1,0.36,3,False,False,True,True,False,False,False,False,False,False
22,70500,3.0,21000,13.98,0,0.3,4,False,False,True,False,True,False,False,False,False,True
25,100000,2.0,21000,16.49,1,0.21,3,False,False,True,False,False,True,False,False,False,True
26,19200,0.0,7500,11.97,1,0.39,2,True,False,False,False,True,False,False,False,False,True
23,82000,2.0,20900,12.69,0,0.25,2,False,False,True,True,False,False,False,False,False,False
23,54000,7.0,20375,7.49,1,0.38,2,False,False,True,False,False,False,False,False,False,False
23,20000,0.0,5000,11.71,0,0.25,4,False,True,False,True,False,False,False,False,False,False
22,20000,6.0,9250,10.65,0,0.46,4,False,True,False,True,False,False,False,False,False,False
25,38556,9.0,20000,11.22,1,0.52,4,False,False,True,False,True,False,False,False,False,True
24,40000,4.0,20000,12.53,1,0.5,3,False,False,True,True,False,False,False,False,False,False
25,20000,0.0,5650,15.99,0,0.28,2,False,True,False,False,False,True,False,False,False,True
23,45000,4.0,20000,10.25,1,0.44,2,False,False,True,True,False,False,False,False,False,False
22,42000,1.0,20000,12.99,1,0.48,3,False,False,True,False,False,True,False,False,False,False
26,20000,1.0,1500,7.74,0,0.07,3,False,False,False,False,False,False,False,False,False,False
22,20000,0.0,16600,9.76,0,0.83,3,False,False,False,True,False,False,False,False,False,False
23,20004,6.0,7125,6.99,0,0.36,2,False,False,False,False,False,False,False,False,False,False
22,51012,1.0,20000,17.49,1,0.39,4,False,False,True,False,False,True,False,False,False,True
26,53000,1.0,20000,16.35,1,0.38,4,False,False,True,False,False,False,True,False,False,True
24,60000,0.0,20000,10.99,1,0.33,2,False,False,True,True,False,False,False,False,False,False
25,54000,6.0,20000,8.88,1,0.37,3,False,False,True,True,False,False,False,False,False,False
23,54000,2.0,20000,11.12,1,0.37,2,False,False,True,True,False,False,False,False,False,False
25,54000,1.0,20000,15.65,1,0.37,3,False,False,True,False,False,True,False,False,False,True
24,54000,1.0,20000,17.04,1,0.37,3,False,False,True,False,False,False,True,False,False,True
24,60000,0.0,20000,11.14,1,0.33,2,False,False,True,True,False,False,False,False,False,False
24,60000,8.0,20000,13.87,1,0.33,4,False,False,True,False,False,True,False,False,False,False
23,54504,1.0,20000,16.7,1,0.37,4,False,False,True,False,False,False,True,False,False,True
24,20800,0.0,5000,16.29,0,0.24,3,False,True,False,False,False,True,False,False,False,True
25,59004,1.0,20000,14.84,1,0.34,2,False,False,True,False,False,True,False,False,False,True
25,68000,4.0,20000,12.53,0,0.29,4,False,False,True,False,True,False,False,False,False,True
22,70000,2.0,20000,6.91,0,0.29,4,False,False,True,False,False,False,False,False,False,False
25,71004,9.0,20000,14.09,0,0.28,2,False,False,True,False,False,True,False,False,False,False
24,21000,4.0,6000,12.21,0,0.29,2,True,False,False,True,False,False,False,False,False,False
25,75000,0.0,20000,10.38,0,0.27,3,False,False,True,True,False,False,False,False,False,False
23,75600,3.0,20000,16.32,0,0.26,3,False,False,True,False,False,False,True,False,False,True
25,74004,2.0,20000,15.95,1,0.27,4,False,False,True,False,False,False,True,False,False,True
23,84000,7.0,20000,11.11,0,0.24,4,False,False,True,True,False,False,False,False,False,False
26,73000,3.0,20000,12.53,1,0.27,2,False,False,True,True,False,False,False,False,False,False
21,21816,2.0,1500,11.86,0,0.07,3,False,False,False,True,False,False,False,False,False,False
23,21996,4.0,6000,13.23,0,0.27,4,False,True,False,False,True,False,False,False,False,False
24,22000,8.0,8000,5.42,0,0.36,4,False,False,False,False,False,False,False,False,False,False
22,22000,6.0,7200,7.14,0,0.33,2,False,False,False,False,False,False,False,False,False,False
22,100000,0.0,20000,12.21,0,0.2,3,False,False,True,True,False,False,False,False,False,False
25,22260,9.0,6400,7.88,0,0.29,4,False,False,False,False,False,False,False,False,False,False
23,93000,6.0,20000,13.22,1,0.22,3,False,False,True,False,True,False,False,False,False,False
24,110000,1.0,20000,10.38,0,0.18,4,False,False,True,True,False,False,False,False,False,False
22,22800,5.0,2000,7.51,0,0.09,3,False,False,False,False,False,False,False,False,False,False
23,22800,2.0,3000,8.9,1,0.13,2,False,False,False,False,False,False,False,False,False,False
23,22800,3.0,4800,5.79,0,0.21,2,False,False,False,False,False,False,False,False,False,False
25,130000,0.0,20000,15.27,0,0.15,2,False,False,True,False,True,False,False,False,False,False
22,160000,6.0,20000,7.49,0,0.13,4,False,False,True,False,False,False,False,False,False,False
22,12000,0.0,1000,13.57,1,0.08,3,False,False,True,False,True,False,False,False,False,False
22,12240,1.0,1000,14.96,1,0.08,3,False,False,True,False,False,True,False,False,False,True
26,47500,10.0,19000,16.7,1,0.4,4,False,False,True,False,False,False,True,False,False,True
23,54586,5.0,19000,11.14,1,0.35,2,False,False,True,True,False,False,False,False,False,False
26,96000,6.0,19000,13.22,0,0.2,2,False,False,True,False,True,False,False,False,False,True
24,175000,1.0,19000,11.48,0,0.11,3,False,False,True,True,False,False,False,False,False,False
22,48888,1.0,18400,13.16,1,0.38,2,False,False,True,False,True,False,False,False,False,False
23,120000,7.0,18400,8.9,0,0.15,2,False,False,True,False,False,False,False,False,False,False
24,35004,3.0,18250,11.49,1,0.52,4,False,False,True,True,False,False,False,False,False,False
22,36996,2.0,18250,14.61,1,0.49,2,False,False,True,False,False,True,False,False,False,True
23,46000,6.0,18250,10.75,1,0.4,2,False,False,True,True,False,False,False,False,False,False
25,36400,2.0,18200,9.91,1,0.5,4,False,False,True,True,False,False,False,False,False,False
24,48000,5.0,18000,6.54,1,0.38,2,False,False,True,False,False,False,False,False,False,False
23,24000,0.0,8000,5.79,0,0.33,3,False,True,False,False,False,False,False,False,False,False
25,65000,3.0,18000,15.33,1,0.28,4,False,False,True,False,False,True,False,False,False,False
24,66000,2.0,18000,14.54,1,0.27,4,False,False,True,False,False,True,False,False,False,True
25,24000,2.0,3500,15.58,1,0.15,2,False,False,False,False,False,True,False,False,False,True
26,24000,5.0,2100,13.11,0,0.09,3,False,False,False,False,True,False,False,False,False,False
23,90000,4.0,18000,8.88,0,0.2,4,False,False,True,True,False,False,False,False,False,False
24,121000,8.0,18000,18.3,0,0.15,3,False,False,True,False,False,False,False,True,False,False
26,24000,5.0,8000,9.76,0,0.33,3,False,False,False,True,False,False,False,False,False,False
23,24091,5.0,3500,12.99,0,0.15,2,False,False,False,False,True,False,False,False,False,True
26,75000,4.0,17500,7.9,0,0.23,2,False,False,True,False,False,False,False,False,False,False
21,24960,0.0,2000,13.99,0,0.08,3,False,False,False,False,True,False,False,False,False,True
24,82000,7.0,17400,11.99,0,0.21,4,False,False,True,True,False,False,False,False,False,False
24,95000,8.0,17200,17.58,0,0.18,3,False,False,True,False,False,True,False,False,False,False
24,50000,3.0,17000,13.79,1,0.34,3,False,False,True,False,True,False,False,False,False,False
23,51000,7.0,17000,8.49,1,0.33,4,False,False,True,False,False,False,False,False,False,False
23,53000,8.0,17000,10.25,1,0.32,4,False,False,True,True,False,False,False,False,False,False
23,60000,3.0,17000,11.11,0,0.28,2,False,False,True,True,False,False,False,False,False,False
25,60000,3.0,17000,6.91,0,0.28,2,False,False,True,False,False,False,False,False,False,False
23,70000,1.0,17000,8.88,0,0.24,3,False,False,True,True,False,False,False,False,False,False
22,96000,6.0,17000,11.48,0,0.18,2,False,False,True,True,False,False,False,False,False,False
21,49000,2.0,16950,18.25,1,0.35,4,False,False,True,False,False,True,False,False,False,True
22,34819,2.0,16800,10.99,1,0.48,4,False,False,True,True,False,False,False,False,False,False
24,54000,0.0,16750,20.11,1,0.31,2,False,False,True,False,False,False,False,False,True,True
25,98400,4.0,16525,15.28,0,0.17,3,False,False,True,False,False,True,False,False,False,True
24,45000,1.0,16425,13.49,1,0.36,2,False,False,True,False,True,False,False,False,False,True
26,47000,5.0,16250,12.42,1,0.35,4,False,False,True,True,False,False,False,False,False,False
21,25000,6.0,1000,7.51,0,0.04,3,False,False,False,False,False,False,False,False,False,False
23,25000,0.0,4750,13.57,0,0.19,2,False,False,False,False,True,False,False,False,False,False
22,25000,1.0,11100,9.63,0,0.44,3,False,True,False,False,False,False,False,False,False,False
23,39000,1.0,16000,11.36,1,0.41,3,False,False,True,True,False,False,False,False,False,False
22,25200,2.0,7000,6.03,0,0.28,4,False,False,False,False,False,False,False,False,False,False
21,52000,5.0,16000,15.7,1,0.31,4,False,False,True,False,False,True,False,False,False,False
21,25200,0.0,6500,14.26,1,0.26,2,False,False,False,False,True,False,False,False,False,True
22,25200,1.0,7000,13.92,0,0.28,3,False,False,False,False,True,False,False,False,False,False
23,25480,7.0,5000,9.99,0,0.2,3,False,False,False,True,False,False,False,False,False,False
23,64000,2.0,16000,10.74,0,0.25,3,False,False,True,True,False,False,False,False,False,False
21,65000,5.0,16000,9.91,0,0.25,3,False,False,True,True,False,False,False,False,False,False
22,65000,6.0,16000,7.88,0,0.25,3,False,False,True,False,False,False,False,False,False,False
23,65000,7.0,16000,14.59,0,0.25,4,False,False,True,False,False,True,False,False,False,False
24,72000,8.0,16000,13.06,0,0.22,2,False,False,True,False,True,False,False,False,False,True
24,74337,8.0,16000,11.86,0,0.22,3,False,False,True,True,False,False,False,False,False,False
26,75000,2.0,16000,13.35,0,0.21,2,False,False,True,False,True,False,False,False,False,True
23,26000,7.0,2000,10.36,0,0.08,2,False,True,False,True,False,False,False,False,False,False
22,26000,4.0,4000,9.25,0,0.15,2,False,False,False,True,False,False,False,False,False,False
24,24000,1.0,1000,17.99,1,0.04,3,False,False,True,False,False,False,True,False,False,False
22,26000,3.0,500,10.46,0,0.02,4,False,False,False,True,False,False,False,False,False,False
22,26004,6.0,12000,7.88,1,0.46,4,False,False,False,False,False,False,False,False,False,False
23,33600,2.0,1000,10.36,0,0.03,2,False,False,True,True,False,False,False,False,False,False
22,36000,1.0,1000,7.68,0,0.03,4,False,False,True,False,False,False,False,False,False,False
23,31000,1.0,1000,14.96,1,0.03,3,False,False,True,False,False,True,False,False,False,True
26,38000,6.0,1000,15.27,0,0.03,3,False,False,True,False,True,False,False,False,False,True
21,38400,5.0,1000,14.22,0,0.03,3,False,False,True,False,True,False,False,False,False,True
21,42000,5.0,1000,15.58,1,0.02,4,False,False,True,False,False,True,False,False,False,True
26,26400,10.0,8500,13.23,0,0.32,3,False,False,False,False,True,False,False,False,False,True
26,50400,1.0,1000,5.42,0,0.02,3,False,False,True,False,False,False,False,False,False,False
26,54000,10.0,1000,11.71,0,0.02,3,False,False,True,True,False,False,False,False,False,False
23,75000,0.0,1000,13.23,0,0.01,3,False,False,True,False,True,False,False,False,False,True
24,87000,0.0,1000,13.99,0,0.01,4,False,False,True,False,True,False,False,False,False,False
22,14400,0.0,1200,10.37,0,0.08,2,False,False,True,True,False,False,False,False,False,False
22,31200,2.0,1200,12.21,0,0.04,4,False,False,True,True,False,False,False,False,False,False
26,27000,2.0,3025,15.95,0,0.11,2,False,False,False,False,False,True,False,False,False,False
25,40000,5.0,1200,8.0,0,0.03,4,False,False,True,False,False,False,False,False,False,False
23,58700,8.0,1200,11.71,0,0.02,4,False,False,True,True,False,False,False,False,False,False
24,44400,0.0,1325,10.0,1,0.03,4,False,False,True,True,False,False,False,False,False,False
24,27360,5.0,8000,7.29,0,0.29,3,False,False,False,False,False,False,False,False,False,False
24,27600,1.0,2000,14.27,0,0.07,2,False,False,False,False,True,False,False,False,False,True
23,30000,1.0,1450,15.58,1,0.05,4,False,False,True,False,False,True,False,False,False,False
23,28000,7.0,1500,14.17,0,0.05,4,False,False,True,False,True,False,False,False,False,True
23,27996,1.0,4800,15.99,0,0.17,2,False,True,False,False,False,True,False,False,False,True
25,34942,7.0,1500,10.99,0,0.04,4,False,False,True,True,False,False,False,False,False,False
24,36000,5.0,1500,10.0,0,0.04,3,False,False,True,True,False,False,False,False,False,False
22,28000,6.0,10000,10.99,0,0.36,3,False,False,False,True,False,False,False,False,False,False
26,28000,5.0,4000,15.37,0,0.14,3,False,True,False,False,False,True,False,False,False,False
23,54000,7.0,1500,9.62,0,0.03,3,False,False,True,True,False,False,False,False,False,False
24,69764,2.0,1500,14.42,1,0.02,4,False,False,True,False,False,True,False,False,False,True
24,14400,0.0,1600,18.25,1,0.11,3,False,False,True,False,False,True,False,False,False,False
23,22800,0.0,1600,13.06,0,0.07,2,False,False,True,False,True,False,False,False,False,False
23,28800,1.0,1675,15.21,1,0.06,2,False,False,True,False,False,True,False,False,False,True
23,46300,0.0,1675,6.54,0,0.04,3,False,False,True,False,False,False,False,False,False,False
21,28596,3.0,2000,7.29,0,0.07,4,False,False,False,False,False,False,False,False,False,False
23,17688,0.0,1700,11.11,0,0.1,3,False,False,True,True,False,False,False,False,False,False
23,22800,3.0,1750,15.7,1,0.08,2,False,False,True,False,False,True,False,False,False,True
24,28800,1.0,3500,9.99,0,0.12,4,False,False,False,True,False,False,False,False,False,False
21,18000,5.0,1800,6.62,0,0.1,3,False,False,True,False,False,False,False,False,False,False
23,28800,2.0,3000,11.11,0,0.1,4,False,True,False,True,False,False,False,False,False,False
23,48000,4.0,1800,11.49,0,0.04,4,False,False,True,True,False,False,False,False,False,False
21,28800,2.0,5500,13.23,0,0.19,2,False,False,False,False,True,False,False,False,False,True
22,58000,3.0,1800,12.18,0,0.03,2,False,False,True,True,False,False,False,False,False,False
25,19200,0.0,1825,12.68,0,0.1,2,False,False,True,False,True,False,False,False,False,True
23,30000,0.0,1925,12.18,0,0.06,2,False,False,True,True,False,False,False,False,False,False
26,14400,1.0,2000,17.49,1,0.14,4,False,False,True,False,False,True,False,False,False,False
21,29000,0.0,4200,11.99,0,0.14,3,False,False,False,True,False,False,False,False,False,False
26,14400,4.0,2000,10.37,0,0.14,2,False,False,True,True,False,False,False,False,False,False
24,15915,0.0,2000,15.05,1,0.13,4,False,False,True,False,False,True,False,False,False,True
21,24000,1.0,2000,18.39,1,0.08,3,False,False,True,False,False,False,True,False,False,True
25,24000,0.0,2000,10.38,0,0.08,4,False,False,True,True,False,False,False,False,False,False
24,29200,6.0,2500,6.76,0,0.09,2,False,False,False,False,False,False,False,False,False,False
24,29232,1.0,11000,11.71,1,0.38,4,False,False,False,True,False,False,False,False,False,False
24,25000,6.0,2000,6.62,0,0.08,4,False,False,True,False,False,False,False,False,False,False
23,99000,7.0,15000,6.99,0,0.15,4,False,False,True,False,False,False,False,False,False,False
23,30000,1.0,5000,6.62,0,0.17,2,False,True,False,False,False,False,False,False,False,False
24,118300,1.0,15000,12.68,0,0.13,4,False,False,True,False,True,False,False,False,False,False
25,120000,2.0,15000,7.51,0,0.13,2,False,False,True,False,False,False,False,False,False,False
24,123000,8.0,15000,15.37,1,0.12,4,False,False,True,False,False,True,False,False,False,False
26,210000,4.0,15000,12.99,0,0.07,4,False,False,True,False,True,False,False,False,False,False
24,55000,4.0,14900,11.83,0,0.27,3,False,False,True,True,False,False,False,False,False,False
21,30000,5.0,7600,6.03,0,0.25,4,False,False,False,False,False,False,False,False,False,False
24,31200,3.0,2000,14.65,0,0.06,2,False,False,True,False,True,False,False,False,False,True
24,40000,2.0,2000,11.99,0,0.05,4,False,False,True,True,False,False,False,False,False,False
24,53117,1.0,2000,13.79,0,0.04,2,False,False,True,False,True,False,False,False,False,False
25,58020,9.0,2000,6.91,0,0.03,4,False,False,True,False,False,False,False,False,False,False
26,62400,3.0,2000,12.53,0,0.03,2,False,False,True,True,False,False,False,False,False,False
23,70000,4.0,2000,7.66,0,0.03,2,False,False,True,False,False,False,False,False,False,False
21,30000,6.0,3000,5.99,0,0.1,4,False,False,False,False,False,False,False,False,False,False
23,90000,0.0,2000,7.88,0,0.02,3,False,False,True,False,False,False,False,False,False,False
22,24000,0.0,2100,12.21,0,0.09,2,False,False,True,True,False,False,False,False,False,False
25,44400,4.0,2100,17.27,0,0.05,4,False,False,True,False,False,True,False,False,False,False
22,52800,1.0,2100,6.76,0,0.04,2,False,False,True,False,False,False,False,False,False,False
22,30000,6.0,2000,12.61,0,0.07,4,False,False,False,False,True,False,False,False,False,False
22,37000,6.0,14000,6.92,1,0.38,2,False,False,True,False,False,False,False,False,False,False
26,37000,0.0,14000,9.88,1,0.38,4,False,False,True,True,False,False,False,False,False,False
21,37947,5.0,14000,7.9,1,0.37,2,False,False,True,False,False,False,False,False,False,False
26,30000,0.0,5000,10.38,0,0.17,4,False,True,False,True,False,False,False,False,False,False
25,25920,0.0,2300,11.11,0,0.09,4,False,False,True,True,False,False,False,False,False,False
22,30000,4.0,5000,11.12,0,0.17,2,False,True,False,True,False,False,False,False,False,False
23,13000,0.0,2400,16.82,1,0.18,3,False,False,True,False,False,False,True,False,False,False
25,30000,6.0,4000,7.14,0,0.13,2,False,False,False,False,False,False,False,False,False,False
26,16428,0.0,2400,12.23,0,0.15,4,False,False,True,False,True,False,False,False,False,False
23,30000,3.0,4500,10.62,0,0.15,3,False,False,False,True,False,False,False,False,False,False
22,30000,1.0,5500,10.99,0,0.18,3,False,False,False,True,False,False,False,False,False,False
26,25000,0.0,2400,15.28,1,0.1,3,False,False,True,False,False,True,False,False,False,True
23,30000,0.0,3000,11.14,0,0.1,3,False,True,False,True,False,False,False,False,False,False
21,26000,1.0,2400,11.58,1,0.09,4,False,False,True,True,False,False,False,False,False,False
23,30720,2.0,2400,13.98,1,0.08,4,False,False,True,False,True,False,False,False,False,True
26,30000,0.0,15000,13.22,0,0.5,2,False,True,False,False,True,False,False,False,False,False
21,37800,1.0,2400,14.26,0,0.06,3,False,False,True,False,True,False,False,False,False,True
25,30000,2.0,11500,8.59,0,0.38,4,False,False,False,False,False,False,False,False,False,False
21,30000,0.0,4750,9.63,1,0.16,2,False,False,False,False,False,False,False,False,False,False
22,37080,6.0,2400,10.65,1,0.06,3,False,False,True,True,False,False,False,False,False,False
23,47000,7.0,2400,13.75,0,0.05,4,False,False,True,False,False,False,True,False,False,True
22,30000,6.0,6600,14.42,0,0.22,4,False,False,False,False,False,True,False,False,False,True
24,48000,0.0,2400,12.99,0,0.05,4,False,False,True,False,True,False,False,False,False,True
23,49800,2.0,2400,11.83,0,0.05,2,False,False,True,True,False,False,False,False,False,False
24,54000,5.0,2400,8.0,0,0.04,3,False,False,True,False,False,False,False,False,False,False
22,57500,3.0,2400,15.23,0,0.04,3,False,False,True,False,True,False,False,False,False,False
24,30000,4.0,5000,10.71,0,0.17,2,False,False,False,True,False,False,False,False,False,False
24,95000,4.0,2400,5.99,0,0.03,3,False,False,True,False,False,False,False,False,False,False
25,87999,5.0,2400,14.79,1,0.03,4,False,False,True,False,True,False,False,False,False,True
21,10800,4.0,2500,8.88,1,0.23,2,False,False,True,True,False,False,False,False,False,False
22,43000,6.0,13500,10.95,1,0.31,3,False,False,True,True,False,False,False,False,False,False
24,57000,0.0,13500,6.92,0,0.24,2,False,False,True,False,False,False,False,False,False,False
26,100000,0.0,13500,7.14,0,0.14,3,False,False,True,False,False,False,False,False,False,False
24,39875,7.0,13300,16.0,1,0.33,4,False,False,True,False,False,True,False,False,False,True
26,40000,3.0,13250,11.71,1,0.33,2,False,False,True,True,False,False,False,False,False,False
22,40000,6.0,13225,16.77,1,0.33,2,False,False,True,False,False,True,False,False,False,True
24,60000,1.0,13200,6.62,0,0.22,4,False,False,True,False,False,False,False,False,False,False
22,60000,0.0,13200,8.49,0,0.22,3,False,False,True,False,False,False,False,False,False,False
26,54000,0.0,13200,14.91,1,0.24,2,False,False,True,False,False,True,False,False,False,True
21,31000,5.0,6000,7.51,0,0.19,4,False,False,False,False,False,False,False,False,False,False
24,31000,8.0,9000,14.84,1,0.29,4,False,False,False,False,False,True,False,False,False,True
25,28000,10.0,13000,7.9,1,0.46,3,False,False,True,False,False,False,False,False,False,False
25,31000,2.0,12250,11.36,1,0.4,3,False,False,False,True,False,False,False,False,False,False
26,31200,6.0,9250,7.9,0,0.3,2,False,False,False,False,False,False,False,False,False,False
